tconst,primaryTitle,startYear,averageRating,numVotes,qid,pagerank,imdb_rank,pagerank_rank
tt0051201,Witness for the Prosecution,1957,8.4,163067,Q196977,0.0006630008986265,83.0,428.0
tt8267604,Capernaum,2018,8.4,125484,Q51803319,0.0008357268888647,84.0,389.0
tt33764258,The Odyssey,2026,8.4,103609,Q131547207,0.0008828754452459,85.0,383.0
tt1424432,Senna,2010,8.4,83905,Q534785,0.0018122886203174,86.0,235.0
tt32820897,Demon Slayer: Kimetsu No Yaiba Infinity Castle,2025,8.4,75682,Q126948105,0.0009027174576029,87.0,373.0
tt0057565,High and Low,1963,8.4,72515,Q244878,0.0015180183902273,88.0,275.0
tt1313104,The Cove,2009,8.4,52706,Q1211833,0.0016137546911217,89.0,262.0
tt9900782,Kaithi,2019,8.4,52140,Q65081848,0.0007094773347916,90.0,417.0
tt7286456,Joker,2019,8.3,1706838,Q42759035,0.0037582457899371,91.0,61.0
tt0169547,American Beauty,1999,8.3,1282650,Q25139,0.005130841241792,92.0,19.0
tt1049413,Up,2009,8.3,1244589,Q174811,0.0020160410104888,93.0,200.0
tt0086190,Star Wars: Episode VI - Return of the Jedi,1983,8.3,1215648,Q181803,0.0023556823025326,94.0,164.0
tt0338013,Eternal Sunshine of the Spotless Mind,2004,8.3,1187786,Q208269,0.0022392672446641,95.0,178.0
tt0114709,Toy Story,1995,8.3,1186837,Q171048,0.0024931116697447,96.0,149.0
tt0112573,Braveheart,1995,8.3,1165813,Q162729,0.0030934745320759,97.0,101.0
tt0086250,Scarface,1983,8.3,1023965,Q47075,0.0007655677387824,98.0,402.0
tt0435761,Toy Story 3,2010,8.3,980755,Q187278,0.0026450901222969,99.0,135.0
tt0180093,Requiem for a Dream,2000,8.3,978465,Q487181,0.000735549495335,100.0,412.0
tt0113277,Heat,1995,8.3,810884,Q42198,0.0008981886877417,101.0,374.0
tt0062622,2001: A Space Odyssey,1968,8.3,787014,Q103474,0.003500947866311,102.0,74.0
tt0364569,Oldboy,2003,8.3,724753,Q475693,0.0014948797084054,103.0,280.0
tt0057012,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,8.3,552072,Q105702,0.0032293241600222,104.0,88.0
tt0119698,Princess Mononoke,1997,8.3,486512,Q186572,0.001872902386761,105.0,221.0
tt2106476,The Hunt,2012,8.3,413275,Q32303,0.0011997117209952,106.0,327.0
tt0087843,Once Upon a Time in America,1984,8.3,409771,Q206388,0.0020049530641645,107.0,202.0
tt0053125,North by Northwest,1959,8.3,369836,Q223139,0.0014114058921713,108.0,299.0
tt0056172,Lawrence of Arabia,1962,8.3,343217,Q228186,0.0041162323691337,109.0,43.0
tt0082096,Das Boot,1981,8.3,289010,Q62730,0.0004951920511572,110.0,464.0
tt0045152,Singin' in the Rain,1952,8.3,284044,Q309153,0.0006725021227029,111.0,425.0
tt1832382,A Separation,2011,8.3,278941,Q640561,0.0040610415663426,112.0,45.0
tt1255953,Incendies,2010,8.3,254606,Q1212650,0.0010691275895022,113.0,342.0
tt5074352,Dangal,2016,8.3,245628,Q20762668,0.0029924161346017,114.0,108.0
tt0986264,Like Stars on Earth,2007,8.3,234162,Q1043614,0.0017696699031506,115.0,245.0
tt0053604,The Apartment,1960,8.3,221077,Q270510,0.0037821911406805,116.0,60.0
tt0022100,M,1931,8.3,183465,Q127021,0.0012546166563715,117.0,319.0
tt0036775,Double Indemnity,1944,8.3,182250,Q478209,0.0009400819532417,118.0,363.0
tt33014583,Dhurandhar,2025,8.3,146994,Q135230927,0.0012350201230677,119.0,322.0
tt8110330,Dil Bechara,2020,8.3,137982,Q55648020,0.0004529126130396,120.0,468.0
tt10295212,Shershaah,2021,8.3,136985,Q65065643,0.0020942225370196,121.0,191.0
tt0091251,Come and See,1985,8.3,124628,Q1130395,0.0005191276834789,122.0,459.0
tt0044741,Ikiru,1952,8.3,103023,Q152105,0.0014750662837475,123.0,288.0
tt0055031,Judgment at Nuremberg,1961,8.3,97495,Q309545,0.0013392899927564,124.0,306.0
tt9179430,Vikram,2022,8.3,90241,Q102147287,0.000603677847384,125.0,440.0
tt9052870,Chhichhore,2019,8.3,73614,Q59725641,0.0009783980398217,126.0,355.0
tt30472557,Chainsaw Man - The Movie: Reze Arc,2025,8.3,62558,Q123906765,0.0004529126130396,127.0,469.0
tt21626284,Lost Ladies,2023,8.3,61130,Q124714626,0.0018379352398539,128.0,229.0
tt0993846,The Wolf of Wall Street,2013,8.2,1804217,Q1392744,0.0008884021146466,129.0,381.0
tt0372784,Batman Begins,2005,8.2,1725854,Q166262,0.0017370326854582,130.0,252.0
tt1130884,Shutter Island,2010,8.2,1662727,Q210364,0.0009114869134737,131.0,371.0
tt0120382,The Truman Show,1998,8.2,1387348,Q214801,0.0015323339322771,132.0,272.0
tt0266697,Kill Bill: Vol. 1,2003,8.2,1314876,Q165325,0.0019896591149006,133.0,207.0
tt0266543,Finding Nemo,2003,8.2,1215589,Q132863,0.0024809975599579,134.0,151.0
tt0477348,No Country for Old Men,2007,8.2,1200547,Q183081,0.0052528094803916,135.0,16.0
tt0107290,Jurassic Park,1993,8.2,1186577,Q167726,0.0031345354861174,136.0,95.0
tt0105236,Reservoir Dogs,1992,8.2,1174691,Q72962,0.0016257970366795,137.0,259.0
tt0167404,The Sixth Sense,1999,8.2,1150960,Q183063,0.0023300556391182,138.0,168.0
tt15398776,Oppenheimer,2023,8.2,1064589,Q108839994,0.0056470446370852,139.0,10.0
tt0268978,A Beautiful Mind,2001,8.2,1057908,Q164103,0.0005460169692084,140.0,457.0
tt0095016,Die Hard,1988,8.2,1033627,Q105598,0.0024208305948801,141.0,158.0
tt0075314,Taxi Driver,1976,8.2,1032850,Q47221,0.0030004646221844,142.0,106.0
tt0208092,Snatch,2000,8.2,980002,Q335160,0.0007672681896202,143.0,401.0
tt1392214,Prisoners,2013,8.2,945067,Q3404003,0.0009782168136175,144.0,356.0
tt0066921,A Clockwork Orange,1971,8.2,939546,Q181086,0.0031240688976021,145.0,96.0
tt1745960,Top Gun: Maverick,2022,8.2,891823,Q31202708,0.0047477323398107,146.0,24.0
tt0097576,Indiana Jones and the Last Crusade,1989,8.2,866531,Q185658,0.0014596715721825,147.0,292.0
tt0093058,Full Metal Jacket,1987,8.2,854004,Q243439,0.0011381660979223,148.0,337.0
tt0211915,Amélie,2001,8.2,843012,Q484048,0.0027901244052893,149.0,123.0
tt8579674,1917,2019,8.2,777326,Q62721520,0.004571976918071,150.0,32.0
tt0457430,Pan's Labyrinth,2006,8.2,749375,Q216006,0.0037969761778896,151.0,59.0
tt0469494,There Will Be Blood,2007,8.2,713296,Q244315,0.0024851152463506,152.0,150.0
tt6966692,Green Book,2018,8.2,694020,Q48673898,0.0038571965502786,153.0,58.0
tt0119488,L.A. Confidential,1997,8.2,660596,Q339876,0.0054097193342895,154.0,13.0
tt0112641,Casino,1995,8.2,623234,Q220910,0.0009327400875241,155.0,365.0
tt0084787,The Thing,1982,8.2,529876,Q210756,0.0005616475173518,156.0,451.0
tt0347149,Howl's Moving Castle,2004,8.2,516669,Q29011,0.0023620162395353,157.0,163.0
tt0033467,Citizen Kane,1941,8.2,494365,Q24815,0.004386139595175,158.0,38.0
